"ID","INVENTARIO_ID","FECHA_VENC","LOTE","CANTIDAD",,,,,,
133,1000176,2021-10-01,"D180479             ",1,,,,,,
134,1000158,2022-02-01,"D180482             ",5020,,,,,,
135,1000155,2021-07-01,"D180532             ",77,,,,,,
136,1000178,2021-05-01,"D180534             ",4,,,,,,
137,1000152,2021-07-01,"D180542             ",40,,,,,,
138,1000187,2021-04-01,"D180736             ",0,,,,,,
139,1000175,2021-05-01,"D180737             ",37,,,,,,
140,1000172,2021-03-01,"D180796             ",0,,,,,,
141,1000167,2021-06-01,"D180837             ",2867,,,,,,
142,1000166,2022-07-01,"D180846             ",14,,,,,,
143,10001104,2021-08-01,"D181121             ",370,,,,,,
144,1000180,2021-08-01,"D181123             ",519,,,,,,
145,1000151,2021-04-01,"D181124             ",0,,,,,,
146,1000169,2021-03-01,"D181263             ",796,,,,,,
147,1000168,2021-06-01,"D181270             ",0,,,,,,
148,1000154,2021-03-01,"D190106             ",1010,,,,,,
149,1000186,2021-02-01,"D190109             ",3,,,,,,
150,1000137,2021-03-01,"D19011              ",1471,,,,,,
151,1000150,2021-12-01,"D190202             ",1919,,,,,,
152,1000183,2021-06-01,"D190204             ",541,,,,,,
153,1000163,2021-07-01,"D190214             ",7,,,,,,
154,1000162,2021-07-01,"D190406             ",1,,,,,,
155,1000160,2021-01-01,"D190411             ",435,,,,,,
156,1000161,2021-01-02,"D190543             ",6059,,,,,,
157,1000174,2021-04-01,"E5                  ",6046,,,,,,
158,1000191,2021-01-01,"E6                  ",0,,,,,,
159,1000192,2020-11-01,"EET1801             ",8746,,,,,,
160,1000132,2021-09-01,"EMD1901             ",160,,,,,,
161,1000142,2021-01-03,"EMS1801             ",6348,,,,,,
162,1000127,2021-05-01,"F04                 ",0,,,,,,
163,10001170,2022-01-01,"F04                 ",90,,,,,,
164,1000129,2022-04-01,"G1269               ",7516,,,,,,
165,1000134,2020-10-01,"J-06                ",2695,,,,,,
166,1000147,2022-01-01,"J-36                ",0,,,,,,
167,100015,2022-03-01,"J-40                ",1507,,,,,,
168,10001100,2021-12-01,"MB801               ",3103,,,,,,
169,1000139,2021-11-01,"SP9056              ",464,,,,,,
170,1000138,2022-02-01,"SP9150              ",4460,,,,,,
171,1000128,2021-05-01,"T8141               ",1,,,,,,
172,1000112,2021-08-01,"TST1804             ",1365,,,,,,
173,1000226,2021-02-11,20210211,23,,,,,,
174,1000227,2021-02-12,20210212,0,,,,,,
175,1000228,2021-02-13,20210213,0,,,,,,
176,1000229,2021-02-14,20210214,200,,,,,,
177,1000230,2021-02-15,20210215,0,,,,,,
178,1000231,2021-02-16,20210216,100,,,,,,
179,1000232,2021-02-17,20210217,100,,,,,,
180,1000233,2021-02-18,20210218,6,,,,,,
181,1000234,2021-02-19,20210219,400,,,,,,
182,1000235,2021-02-20,20210220,100,,,,,,
183,1000236,2021-02-21,20210221,0,,,,,,
184,1000237,2021-02-22,20210222,0,,,,,,
185,1000238,2021-02-23,20210223,100,,,,,,
186,1000239,2021-02-24,20210224,0,,,,,,
187,1000240,2021-02-25,20210225,0,,,,,,
188,1000241,2021-02-26,20210226,24,,,,,,
189,1000242,2021-02-27,20210227,0,,,,,,
190,1000243,2021-02-28,20210228,45,,,,,,
191,1000244,2021-03-01,20210301,206,,,,,,
192,1000245,2021-03-02,20210302,0,,,,,,
193,1000246,2021-03-03,20210303,0,,,,,,
194,1000247,2021-03-04,20210304,200,,,,,,
195,1000248,2021-03-05,20210305,100,,,,,,
196,1000249,2021-03-06,20210306,0,,,,,,
197,1000250,2021-03-07,20210307,0,,,,,,
198,1000251,2021-03-08,20210308,40,,,,,,
199,1000252,2021-03-09,20210309,100,,,,,,
200,1000253,2021-03-10,20210310,122,,,,,,
201,1000254,2021-03-11,20210311,100,,,,,,
202,1000255,2021-03-12,20210312,100,,,,,,
203,1000256,2021-03-13,20210313,0,,,,,,
204,1000257,2021-03-14,20210314,0,,,,,,
205,1000258,2021-03-15,20210315,100,,,,,,
206,1000259,2021-03-16,20210316,100,,,,,,
207,1000260,2021-03-17,20210317,100,,,,,,
208,1000261,2021-03-18,20210318,10,,,,,,
209,1000262,2021-03-19,20210319,100,,,,,,
210,1000263,2021-03-20,20210320,100,,,,,,
211,1000264,2021-03-21,20210321,68,,,,,,
212,1000265,2021-03-22,20210322,100,,,,,,
213,1000266,2021-03-23,20210323,49,,,,,,
214,1000267,2021-03-24,20210324,68,,,,,,
215,1000268,2021-03-25,20210325,100,,,,,,
216,1000269,2021-03-26,20210326,100,,,,,,
217,1000270,2021-03-27,20210327,0,,,,,,
218,1000271,2021-03-28,20210328,430,,,,,,
219,1000272,2021-03-29,20210329,0,,,,,,
220,1000273,2021-03-30,20210330,0,,,,,,
221,1000274,2021-03-31,20210331,33,,,,,,
222,1000275,2021-04-01,20210401,200,,,,,,
223,1000276,2021-04-02,20210402,4,,,,,,
224,1000277,2021-04-03,20210403,0,,,,,,
225,1000278,2021-04-04,20210404,0,,,,,,
226,1000279,2021-04-05,20210405,0,,,,,,
